"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"A0A994J5K6","Normal_vs_Reference",-0.917379969359507,0.210534329107259,3,0.0223366579962519,0.259105232756522,NA
"A0A994J5K6","Tumor_vs_Reference",-0.859056021344749,0.198493669045737,3,0.0227453308135528,0.412426825521315,NA
"HBA_HUMAN","Normal_vs_Reference",-1.09194999523905,0.125234186223205,3,0.0031756989455825,0.113465463897931,NA
"P08123","Normal_vs_Reference",-0.754903419445116,0.315267666948423,3,0.0963514761903563,0.560173390439054,NA
"P08123","Tumor_vs_Reference",-0.842626306883925,0.297237206917456,3,0.065924951339013,0.546235311094679,NA
"P48735","Normal_vs_Reference",-0.695781569422134,0.149812432076875,3,0.0188181249804665,0.259105232756522,NA
"Q9Y6C2","Normal_vs_Reference",-0.951987617984325,0.305348405133085,3,0.0525650863502078,0.508129168052009,NA
